"","delta","TWFE","TWFE (drops)","Callaway-Sant'Anna","name","se"
"70",-0.025,-0.0236126411836713,-0.0194564591056236,-0.0401451965709159,"Callaway-Sant'Anna SE",0.0126308603492486
"71",-0.025,-0.030132167988598,-0.0260396027882104,-0.03221529265671,"TWFE Clustered SE",0.00483910852061143
"72",-0.025,-0.030132167988598,-0.0260396027882104,-0.03221529265671,"TWFE Robust SE",0.00439714192983104
"73",-0.025,-0.030132167988598,-0.0260396027882104,-0.03221529265671,"TWFE (drops) Clustered SE",0.00485333479718605
"74",-0.025,-0.030132167988598,-0.0260396027882104,-0.03221529265671,"TWFE (drops) Robust SE",0.00674932176045056
"75",-0.025,-0.030132167988598,-0.0260396027882104,-0.03221529265671,"Callaway-Sant'Anna SE",0.0125948313601092
"76",-0.025,-0.0216773322241507,-0.017870560869728,-0.0326430380032068,"TWFE Clustered SE",0.00425336982193422
"77",-0.025,-0.0216773322241507,-0.017870560869728,-0.0326430380032068,"TWFE Robust SE",0.00439827483875524
"78",-0.025,-0.0216773322241507,-0.017870560869728,-0.0326430380032068,"TWFE (drops) Clustered SE",0.00751412807812583
"79",-0.025,-0.0216773322241507,-0.017870560869728,-0.0326430380032068,"TWFE (drops) Robust SE",0.00675751775579018
"80",-0.025,-0.0216773322241507,-0.017870560869728,-0.0326430380032068,"Callaway-Sant'Anna SE",0.0127577682262915
"81",-0.025,-0.0312554446328628,-0.0320411081459995,-0.0350719449092732,"TWFE Clustered SE",0.00345970403134167
"82",-0.025,-0.0312554446328628,-0.0320411081459995,-0.0350719449092732,"TWFE Robust SE",0.00440176290907189
"83",-0.025,-0.0312554446328628,-0.0320411081459995,-0.0350719449092732,"TWFE (drops) Clustered SE",0.00653630511024081
"84",-0.025,-0.0312554446328628,-0.0320411081459995,-0.0350719449092732,"TWFE (drops) Robust SE",0.00674165336951945
"85",-0.025,-0.0312554446328628,-0.0320411081459995,-0.0350719449092732,"Callaway-Sant'Anna SE",0.0123812622441617
"86",-0.025,-0.0191544296467963,-0.0252642592786331,-0.0360835973326195,"TWFE Clustered SE",0.00333323349540073
"87",-0.025,-0.0191544296467963,-0.0252642592786331,-0.0360835973326195,"TWFE Robust SE",0.00440211292280073
"88",-0.025,-0.0191544296467963,-0.0252642592786331,-0.0360835973326195,"TWFE (drops) Clustered SE",0.00507260101789389
"89",-0.025,-0.0191544296467963,-0.0252642592786331,-0.0360835973326195,"TWFE (drops) Robust SE",0.00674127374089849
"90",-0.025,-0.0191544296467963,-0.0252642592786331,-0.0360835973326195,"Callaway-Sant'Anna SE",0.0125922287538684
"91",-0.025,-0.0261695196384241,-0.0184385423107808,-0.00865331725542133,"TWFE Clustered SE",0.00511445647876623
"92",-0.025,-0.0261695196384241,-0.0184385423107808,-0.00865331725542133,"TWFE Robust SE",0.00439820860336313
"93",-0.025,-0.0261695196384241,-0.0184385423107808,-0.00865331725542133,"TWFE (drops) Clustered SE",0.00639876887645087
"94",-0.025,-0.0261695196384241,-0.0184385423107808,-0.00865331725542133,"TWFE (drops) Robust SE",0.00676080478166177
"95",-0.025,-0.0261695196384241,-0.0184385423107808,-0.00865331725542133,"Callaway-Sant'Anna SE",0.0126066216227147
"96",-0.025,-0.0269389366799501,-0.0309957807810378,-0.028892527793883,"TWFE Clustered SE",0.00467620228724536
"97",-0.025,-0.0269389366799501,-0.0309957807810378,-0.028892527793883,"TWFE Robust SE",0.00440480257489495
"98",-0.025,-0.0269389366799501,-0.0309957807810378,-0.028892527793883,"TWFE (drops) Clustered SE",0.0069741716817131
"99",-0.025,-0.0269389366799501,-0.0309957807810378,-0.028892527793883,"TWFE (drops) Robust SE",0.00675526344365213
"100",-0.025,-0.0269389366799501,-0.0309957807810378,-0.028892527793883,"Callaway-Sant'Anna SE",0.0124686515349536
"101",-0.025,-0.0288000250771403,-0.0294235878721396,-0.0256807588354876,"TWFE Clustered SE",0.00523913797359666
"102",-0.025,-0.0288000250771403,-0.0294235878721396,-0.0256807588354876,"TWFE Robust SE",0.00439620126926326
"103",-0.025,-0.0288000250771403,-0.0294235878721396,-0.0256807588354876,"TWFE (drops) Clustered SE",0.00678094735609688
"104",-0.025,-0.0288000250771403,-0.0294235878721396,-0.0256807588354876,"TWFE (drops) Robust SE",0.00676681543994054
"105",-0.025,-0.0288000250771403,-0.0294235878721396,-0.0256807588354876,"Callaway-Sant'Anna SE",0.0125222447092603
"106",-0.025,-0.0256795510738313,-0.0243284263665916,-0.0201066376367004,"TWFE Clustered SE",0.00442371185464446
"107",-0.025,-0.0256795510738313,-0.0243284263665916,-0.0201066376367004,"TWFE Robust SE",0.00438263225597836
"108",-0.025,-0.0256795510738313,-0.0243284263665916,-0.0201066376367004,"TWFE (drops) Clustered SE",0.00503758944222683
