"","delta","TWFE","TWFE (drops)","Roth-Sant'Anna","Callaway-Sant'Anna","name","se"
"1",-0.025,-0.0261225490186906,-0.0267624349004285,0.0168524291026355,-0.0344190099760568,"TWFE Clustered SE",0.00581235005115791
"2",-0.025,-0.0261225490186906,-0.0267624349004285,0.0168524291026355,-0.0344190099760568,"TWFE Robust SE",0.00592102175158046
"3",-0.025,-0.0261225490186906,-0.0267624349004285,0.0168524291026355,-0.0344190099760568,"TWFE (drops) Clustered SE",0.00906834392467886
"4",-0.025,-0.0261225490186906,-0.0267624349004285,0.0168524291026355,-0.0344190099760568,"TWFE (drops) Robust SE",0.00904210394303688
"5",-0.025,-0.0261225490186906,-0.0267624349004285,0.0168524291026355,-0.0344190099760568,"Roth-Sant'Anna SE",0.00708517955896362
"6",-0.025,-0.0261225490186906,-0.0267624349004285,0.0168524291026355,-0.0344190099760568,"Callaway-Sant'Anna SE",0.018145874362228
"7",-0.025,-0.025106122252485,-0.0222808908711417,0.0117176864342364,-0.0235701384342897,"TWFE Clustered SE",0.00475783692098331
"8",-0.025,-0.025106122252485,-0.0222808908711417,0.0117176864342364,-0.0235701384342897,"TWFE Robust SE",0.0059188665961701
"9",-0.025,-0.025106122252485,-0.0222808908711417,0.0117176864342364,-0.0235701384342897,"TWFE (drops) Clustered SE",0.0083981608674115
"10",-0.025,-0.025106122252485,-0.0222808908711417,0.0117176864342364,-0.0235701384342897,"TWFE (drops) Robust SE",0.00908603692902936
"11",-0.025,-0.025106122252485,-0.0222808908711417,0.0117176864342364,-0.0235701384342897,"Roth-Sant'Anna SE",0.00671092445993343
"12",-0.025,-0.025106122252485,-0.0222808908711417,0.0117176864342364,-0.0235701384342897,"Callaway-Sant'Anna SE",0.0182020363580678
"13",-0.025,-0.0326941751615406,-0.0350042780786856,0.0183902193009671,0.00138186370110227,"TWFE Clustered SE",0.00550507632347999
"14",-0.025,-0.0326941751615406,-0.0350042780786856,0.0183902193009671,0.00138186370110227,"TWFE Robust SE",0.00592288661852365
"15",-0.025,-0.0326941751615406,-0.0350042780786856,0.0183902193009671,0.00138186370110227,"TWFE (drops) Clustered SE",0.00815309806755287
"16",-0.025,-0.0326941751615406,-0.0350042780786856,0.0183902193009671,0.00138186370110227,"TWFE (drops) Robust SE",0.00905525122959717
"17",-0.025,-0.0326941751615406,-0.0350042780786856,0.0183902193009671,0.00138186370110227,"Roth-Sant'Anna SE",0.0071154116664663
"18",-0.025,-0.0326941751615406,-0.0350042780786856,0.0183902193009671,0.00138186370110227,"Callaway-Sant'Anna SE",0.0177599562124544
"19",-0.025,-0.0266383361859972,-0.0263505995789797,0.0235653168518885,-0.0220612229116491,"TWFE Clustered SE",0.00668309401250425
"20",-0.025,-0.0266383361859972,-0.0263505995789797,0.0235653168518885,-0.0220612229116491,"TWFE Robust SE",0.0059156531786143
"21",-0.025,-0.0266383361859972,-0.0263505995789797,0.0235653168518885,-0.0220612229116491,"TWFE (drops) Clustered SE",0.0104838020213282
"22",-0.025,-0.0266383361859972,-0.0263505995789797,0.0235653168518885,-0.0220612229116491,"TWFE (drops) Robust SE",0.00907043706519624
"23",-0.025,-0.0266383361859972,-0.0263505995789797,0.0235653168518885,-0.0220612229116491,"Roth-Sant'Anna SE",0.006547843283244
"24",-0.025,-0.0266383361859972,-0.0263505995789797,0.0235653168518885,-0.0220612229116491,"Callaway-Sant'Anna SE",0.018026710425098
"25",-0.025,-0.0168829627771785,-0.0245721454612492,0.0202484234292333,0.00872884207501523,"TWFE Clustered SE",0.00616008981322044
"26",-0.025,-0.0168829627771785,-0.0245721454612492,0.0202484234292333,0.00872884207501523,"TWFE Robust SE",0.00591720044561555
"27",-0.025,-0.0168829627771785,-0.0245721454612492,0.0202484234292333,0.00872884207501523,"TWFE (drops) Clustered SE",0.00859189749108447
"28",-0.025,-0.0168829627771785,-0.0245721454612492,0.0202484234292333,0.00872884207501523,"TWFE (drops) Robust SE",0.00901879418876964
"29",-0.025,-0.0168829627771785,-0.0245721454612492,0.0202484234292333,0.00872884207501523,"Roth-Sant'Anna SE",0.00715213695637181
"30",-0.025,-0.0168829627771785,-0.0245721454612492,0.0202484234292333,0.00872884207501523,"Callaway-Sant'Anna SE",0.0175239424064164
"31",-0.025,-0.028456592077838,-0.0330547813856701,0.0177612560662988,-0.00258214133195242,"TWFE Clustered SE",0.00486600823679432
"32",-0.025,-0.028456592077838,-0.0330547813856701,0.0177612560662988,-0.00258214133195242,"TWFE Robust SE",0.00590766394206587
"33",-0.025,-0.028456592077838,-0.0330547813856701,0.0177612560662988,-0.00258214133195242,"TWFE (drops) Clustered SE",0.00812844896054696
"34",-0.025,-0.028456592077838,-0.0330547813856701,0.0177612560662988,-0.00258214133195242,"TWFE (drops) Robust SE",0.00905816379064056
"35",-0.025,-0.028456592077838,-0.0330547813856701,0.0177612560662988,-0.00258214133195242,"Roth-Sant'Anna SE",0.00738061915630742
"36",-0.025,-0.028456592077838,-0.0330547813856701,0.0177612560662988,-0.00258214133195242,"Callaway-Sant'Anna SE",0.0179146219455047
"37",-0.025,-0.0242129601000088,-0.0347202856227913,0.0122070845389607,-0.00512891250756994,"TWFE Clustered SE",0.00541941167998806
"38",-0.025,-0.0242129601000088,-0.0347202856227913,0.0122070845389607,-0.00512891250756994,"TWFE Robust SE",0.00594785009192471
"39",-0.025,-0.0242129601000088,-0.0347202856227913,0.0122070845389607,-0.00512891250756994,"TWFE (drops) Clustered SE",0.00687966397846853
"40",-0.025,-0.0242129601000088,-0.0347202856227913,0.0122070845389607,-0.00512891250756994,"TWFE (drops) Robust SE",0.00909301960010982
"41",-0.025,-0.0242129601000088,-0.0347202856227913,0.0122070845389607,-0.00512891250756994,"Roth-Sant'Anna SE",0.00713705804842446
"42",-0.025,-0.0242129601000088,-0.0347202856227913,0.0122070845389607,-0.00512891250756994,"Callaway-Sant'Anna SE",0.0179398559871472
"43",-0.025,-0.0105781082153361,0.00248069878588621,0.0365723976533066,-0.0156948954433255,"TWFE Clustered SE",0.00642536900618572
"44",-0.025,-0.0105781082153361,0.00248069878588621,0.0365723976533066,-0.0156948954433255,"TWFE Robust SE",0.00592877367869407
"45",-0.025,-0.0105781082153361,0.00248069878588621,0.0365723976533066,-0.0156948954433255,"TWFE (drops) Clustered SE",0.00931449440429645
"46",-0.025,-0.0105781082153361,0.00248069878588621,0.0365723976533066,-0.0156948954433255,"TWFE (drops) Robust SE",0.00909273674112252
"47",-0.025,-0.0105781082153361,0.00248069878588621,0.0365723976533066,-0.0156948954433255,"Roth-Sant'Anna SE",0.00665265329452585
"48",-0.025,-0.0105781082153361,0.00248069878588621,0.0365723976533066,-0.0156948954433255,"Callaway-Sant'Anna SE",0.0180501746025231
"49",-0.025,-0.0181701469595581,-0.0052348134591718,0.0212989534102846,-0.0106497542883219,"TWFE Clustered SE",0.00583262108472432
