"","delta","TWFE","TWFE (drops)","Roth-Sant'Anna","Callaway-Sant'Anna","name","se"
"1",-0.025,-0.0269107426062695,-0.0240031569598372,0.0152741878503288,-0.0316089823329774,"TWFE Clustered SE",0.00398394159894602
"2",-0.025,-0.0269107426062695,-0.0240031569598372,0.0152741878503288,-0.0316089823329774,"TWFE Robust SE",0.00439336831911486
"3",-0.025,-0.0269107426062695,-0.0240031569598372,0.0152741878503288,-0.0316089823329774,"TWFE (drops) Clustered SE",0.00642096416153053
"4",-0.025,-0.0269107426062695,-0.0240031569598372,0.0152741878503288,-0.0316089823329774,"TWFE (drops) Robust SE",0.00674303774273037
"5",-0.025,-0.0269107426062695,-0.0240031569598372,0.0152741878503288,-0.0316089823329774,"Roth-Sant'Anna SE",0.00482661347318406
"6",-0.025,-0.0269107426062695,-0.0240031569598372,0.0152741878503288,-0.0316089823329774,"Callaway-Sant'Anna SE",0.0124278054523022
"7",-0.025,-0.0196167413489191,-0.0193345764925727,0.0251201521861862,-0.0162094258027772,"TWFE Clustered SE",0.00338750135968202
"8",-0.025,-0.0196167413489191,-0.0193345764925727,0.0251201521861862,-0.0162094258027772,"TWFE Robust SE",0.00440015201499059
"9",-0.025,-0.0196167413489191,-0.0193345764925727,0.0251201521861862,-0.0162094258027772,"TWFE (drops) Clustered SE",0.00435301516612208
"10",-0.025,-0.0196167413489191,-0.0193345764925727,0.0251201521861862,-0.0162094258027772,"TWFE (drops) Robust SE",0.00672815687801641
"11",-0.025,-0.0196167413489191,-0.0193345764925727,0.0251201521861862,-0.0162094258027772,"Roth-Sant'Anna SE",0.00474927398783546
"12",-0.025,-0.0196167413489191,-0.0193345764925727,0.0251201521861862,-0.0162094258027772,"Callaway-Sant'Anna SE",0.0124299370920977
"13",-0.025,-0.0262076645654488,-0.0270833161855731,0.0157866624333018,-0.0338516267539577,"TWFE Clustered SE",0.00404460057389291
"14",-0.025,-0.0262076645654488,-0.0270833161855731,0.0157866624333018,-0.0338516267539577,"TWFE Robust SE",0.00438857838645014
"15",-0.025,-0.0262076645654488,-0.0270833161855731,0.0157866624333018,-0.0338516267539577,"TWFE (drops) Clustered SE",0.00429547188441537
"16",-0.025,-0.0262076645654488,-0.0270833161855731,0.0157866624333018,-0.0338516267539577,"TWFE (drops) Robust SE",0.00671928822445765
"17",-0.025,-0.0262076645654488,-0.0270833161855731,0.0157866624333018,-0.0338516267539577,"Roth-Sant'Anna SE",0.00462959105498215
"18",-0.025,-0.0262076645654488,-0.0270833161855731,0.0157866624333018,-0.0338516267539577,"Callaway-Sant'Anna SE",0.0125765643777693
"19",-0.025,-0.0210057517240772,-0.0222105428402354,0.0177900211721738,-0.0306744463491435,"TWFE Clustered SE",0.00409382141273005
"20",-0.025,-0.0210057517240772,-0.0222105428402354,0.0177900211721738,-0.0306744463491435,"TWFE Robust SE",0.00439794149610164
"21",-0.025,-0.0210057517240772,-0.0222105428402354,0.0177900211721738,-0.0306744463491435,"TWFE (drops) Clustered SE",0.00687700258013115
"22",-0.025,-0.0210057517240772,-0.0222105428402354,0.0177900211721738,-0.0306744463491435,"TWFE (drops) Robust SE",0.00675543537667069
"23",-0.025,-0.0210057517240772,-0.0222105428402354,0.0177900211721738,-0.0306744463491435,"Roth-Sant'Anna SE",0.00488101237881223
"24",-0.025,-0.0210057517240772,-0.0222105428402354,0.0177900211721738,-0.0306744463491435,"Callaway-Sant'Anna SE",0.0126658845811111
"25",-0.025,-0.0201161625322236,-0.0137058575379382,0.0309486573352353,-0.00658029476887596,"TWFE Clustered SE",0.00347997092795838
"26",-0.025,-0.0201161625322236,-0.0137058575379382,0.0309486573352353,-0.00658029476887596,"TWFE Robust SE",0.00438940162463652
"27",-0.025,-0.0201161625322236,-0.0137058575379382,0.0309486573352353,-0.00658029476887596,"TWFE (drops) Clustered SE",0.00511434755025113
"28",-0.025,-0.0201161625322236,-0.0137058575379382,0.0309486573352353,-0.00658029476887596,"TWFE (drops) Robust SE",0.00672498978776678
"29",-0.025,-0.0201161625322236,-0.0137058575379382,0.0309486573352353,-0.00658029476887596,"Roth-Sant'Anna SE",0.00457669922284408
"30",-0.025,-0.0201161625322236,-0.0137058575379382,0.0309486573352353,-0.00658029476887596,"Callaway-Sant'Anna SE",0.0123610021312197
"31",-0.025,-0.0308726075244508,-0.0332228636399055,0.0138427440996926,-0.0352406037658579,"TWFE Clustered SE",0.00511693437377007
"32",-0.025,-0.0308726075244508,-0.0332228636399055,0.0138427440996926,-0.0352406037658579,"TWFE Robust SE",0.00440195366264441
"33",-0.025,-0.0308726075244508,-0.0332228636399055,0.0138427440996926,-0.0352406037658579,"TWFE (drops) Clustered SE",0.00872461210992426
"34",-0.025,-0.0308726075244508,-0.0332228636399055,0.0138427440996926,-0.0352406037658579,"TWFE (drops) Robust SE",0.00675589923684719
"35",-0.025,-0.0308726075244508,-0.0332228636399055,0.0138427440996926,-0.0352406037658579,"Roth-Sant'Anna SE",0.00488800048984689
"36",-0.025,-0.0308726075244508,-0.0332228636399055,0.0138427440996926,-0.0352406037658579,"Callaway-Sant'Anna SE",0.0127418035164101
"37",-0.025,-0.0192044754604057,-0.0250825192321974,0.0140021633616552,-0.0316756700882584,"TWFE Clustered SE",0.00326384110554747
"38",-0.025,-0.0192044754604057,-0.0250825192321974,0.0140021633616552,-0.0316756700882584,"TWFE Robust SE",0.00440605806535065
"39",-0.025,-0.0192044754604057,-0.0250825192321974,0.0140021633616552,-0.0316756700882584,"TWFE (drops) Clustered SE",0.00463313226671806
"40",-0.025,-0.0192044754604057,-0.0250825192321974,0.0140021633616552,-0.0316756700882584,"TWFE (drops) Robust SE",0.00674750659778538
"41",-0.025,-0.0192044754604057,-0.0250825192321974,0.0140021633616552,-0.0316756700882584,"Roth-Sant'Anna SE",0.00494649296183598
"42",-0.025,-0.0192044754604057,-0.0250825192321974,0.0140021633616552,-0.0316756700882584,"Callaway-Sant'Anna SE",0.0124263834709808
"43",-0.025,-0.0253784240399795,-0.0322354693930234,0.0234046188779984,-0.0399064365606589,"TWFE Clustered SE",0.00406862121208792
"44",-0.025,-0.0253784240399795,-0.0322354693930234,0.0234046188779984,-0.0399064365606589,"TWFE Robust SE",0.00440025511344084
"45",-0.025,-0.0253784240399795,-0.0322354693930234,0.0234046188779984,-0.0399064365606589,"TWFE (drops) Clustered SE",0.00472459200917969
"46",-0.025,-0.0253784240399795,-0.0322354693930234,0.0234046188779984,-0.0399064365606589,"TWFE (drops) Robust SE",0.00673781545646974
"47",-0.025,-0.0253784240399795,-0.0322354693930234,0.0234046188779984,-0.0399064365606589,"Roth-Sant'Anna SE",0.00472375549150031
"48",-0.025,-0.0253784240399795,-0.0322354693930234,0.0234046188779984,-0.0399064365606589,"Callaway-Sant'Anna SE",0.0126878638614316
"49",-0.025,-0.0232975459854174,-0.0222931198288737,0.0195782203984379,-0.0177210281622547,"TWFE Clustered SE",0.00530872377645955
"50",-0.025,-0.0232975459854174,-0.0222931198288737,0.0195782203984379,-0.0177210281622547,"TWFE Robust SE",0.00440283779895358
"51",-0.025,-0.0232975459854174,-0.0222931198288737,0.0195782203984379,-0.0177210281622547,"TWFE (drops) Clustered SE",0.00777560680082821
